Tempo, ymx
10.70, -0.4839
10.71, -0.4821
10.72, -0.4803
10.73, -0.4785
10.74, -0.4767
10.75, -0.4749
10.76, -0.4730
10.77, -0.4712
10.78, -0.4693
10.79, -0.4674
10.80, -0.4656
10.81, -0.4637
10.82, -0.4617
10.83, -0.4598
10.84, -0.4579
10.85, -0.4560
10.86, -0.4540
10.87, -0.4520
10.88, -0.4500
10.89, -0.4481
10.90, -0.4461
10.91, -0.4440
10.92, -0.4420
10.93, -0.4400
10.94, -0.4379
10.95, -0.4359
10.96, -0.4338
10.97, -0.4317
10.98, -0.4297
10.99, -0.4276
11.00, -0.4254
11.01, -0.4233
11.02, -0.4212
11.03, -0.4191
11.04, -0.4169
11.05, -0.4147
11.06, -0.4126
11.07, -0.4104
11.08, -0.4082
11.09, -0.4060
11.10, -0.4038
11.11, -0.4015
11.12, -0.3993
11.13, -0.3971
11.14, -0.3948
11.15, -0.3925
11.16, -0.3903
11.17, -0.3880
11.18, -0.3857
11.19, -0.3834
11.20, -0.3811
11.21, -0.3788
11.22, -0.3764
11.23, -0.3741
11.24, -0.3717
11.25, -0.3694
11.26, -0.3670
11.27, -0.3646
11.28, -0.3622
11.29, -0.3598
11.30, -0.3574
11.31, -0.3550
11.32, -0.3526
11.33, -0.3502
11.34, -0.3477
11.35, -0.3453
11.36, -0.3428
11.37, -0.3404
11.38, -0.3379
11.39, -0.3354
11.40, -0.3329
11.41, -0.3304
11.42, -0.3279
11.43, -0.3254
11.44, -0.3229
11.45, -0.3203
11.46, -0.3178
11.47, -0.3152
11.48, -0.3127
11.49, -0.3101
11.50, -0.3075
11.51, -0.3050
11.52, -0.3024
11.53, -0.2998
11.54, -0.2972
11.55, -0.2946
11.56, -0.2920
11.57, -0.2893
11.58, -0.2867
11.59, -0.2841
11.60, -0.2814
11.61, -0.2788
11.62, -0.2761
11.63, -0.2734
11.64, -0.2708
11.65, -0.2681
11.66, -0.2654
11.67, -0.2627
11.68, -0.2600
11.69, -0.2573
11.70, -0.2546
11.71, -0.2519
11.72, -0.2491
11.73, -0.2464
11.74, -0.2437
11.75, -0.2409
11.76, -0.2382
11.77, -0.2354
11.78, -0.2326
11.79, -0.2299
11.80, -0.2271
11.81, -0.2243
11.82, -0.2215
11.83, -0.2188
11.84, -0.2160
11.85, -0.2132
11.86, -0.2103
11.87, -0.2075
11.88, -0.2047
11.89, -0.2019
11.90, -0.1991
11.91, -0.1962
11.92, -0.1934
11.93, -0.1906
11.94, -0.1877
11.95, -0.1849
11.96, -0.1820
11.97, -0.1791
11.98, -0.1763
11.99, -0.1734
12.00, -0.1705
12.01, -0.1676
12.02, -0.1648
12.03, -0.1619
12.04, -0.1590
12.05, -0.1561
12.06, -0.1532
12.07, -0.1503
12.08, -0.1474
12.09, -0.1445
12.10, -0.1416
12.11, -0.1386
12.12, -0.1357
12.13, -0.1328
12.14, -0.1299
12.15, -0.1269
12.16, -0.1240
12.17, -0.1211
12.18, -0.1181
12.19, -0.1152
12.20, -0.1122
12.21, -0.1093
12.22, -0.1063
12.23, -0.1034
12.24, -0.1004
12.25, -0.0975
12.26, -0.0945
12.27, -0.0916
12.28, -0.0886
12.29, -0.0856
12.30, -0.0826
12.31, -0.0797
12.32, -0.0767
12.33, -0.0737
12.34, -0.0707
12.35, -0.0678
12.36, -0.0648
12.37, -0.0618
12.38, -0.0588
12.39, -0.0558
12.40, -0.0528
12.41, -0.0499
12.42, -0.0469
12.43, -0.0439
12.44, -0.0409
12.45, -0.0379
12.46, -0.0349
12.47, -0.0319
12.48, -0.0289
12.49, -0.0259
12.50, -0.0229
12.51, -0.0199
12.52, -0.0169
12.53, -0.0139
12.54, -0.0109
12.55, -0.0079
12.56, -0.0049
12.57, -0.0019
12.58, 0.0011
12.59, 0.0041
12.60, 0.0071
12.61, 0.0101
12.62, 0.0131
12.63, 0.0161
12.64, 0.0191
12.65, 0.0221
12.66, 0.0251
12.67, 0.0281
12.68, 0.0311
12.69, 0.0341
12.70, 0.0371
12.71, 0.0401
12.72, 0.0431
12.73, 0.0460
12.74, 0.0490
12.75, 0.0520
12.76, 0.0550
12.77, 0.0580
12.78, 0.0610
12.79, 0.0640
12.80, 0.0669
12.81, 0.0699
12.82, 0.0729
12.83, 0.0759
12.84, 0.0789
12.85, 0.0818
12.86, 0.0848
12.87, 0.0878
12.88, 0.0907
12.89, 0.0937
12.90, 0.0967
12.91, 0.0996
12.92, 0.1026
12.93, 0.1055
12.94, 0.1085
12.95, 0.1114
12.96, 0.1144
12.97, 0.1173
12.98, 0.1203
12.99, 0.1232
13.00, 0.1261
13.01, 0.1291
13.02, 0.1320
13.03, 0.1349
13.04, 0.1378
13.05, 0.1408
13.06, 0.1437
13.07, 0.1466
13.08, 0.1495
13.09, 0.1524
13.10, 0.1553
13.11, 0.1582
13.12, 0.1611
13.13, 0.1640
13.14, 0.1669
13.15, 0.1697
13.16, 0.1726
13.17, 0.1755
13.18, 0.1784
13.19, 0.1812
13.20, 0.1841
13.21, 0.1869
13.22, 0.1898
13.23, 0.1926
13.24, 0.1955
13.25, 0.1983
13.26, 0.2011
13.27, 0.2039
13.28, 0.2068
13.29, 0.2096
13.30, 0.2124
13.31, 0.2152
13.32, 0.2180
13.33, 0.2208
13.34, 0.2236
13.35, 0.2263
13.36, 0.2291
13.37, 0.2319
13.38, 0.2347
13.39, 0.2374
13.40, 0.2402
13.41, 0.2429
13.42, 0.2457
13.43, 0.2484
13.44, 0.2511
13.45, 0.2538
13.46, 0.2565
13.47, 0.2593
13.48, 0.2620
13.49, 0.2647
13.50, 0.2673
13.51, 0.2700
13.52, 0.2727
13.53, 0.2754
13.54, 0.2780
13.55, 0.2807
13.56, 0.2833
13.57, 0.2860
13.58, 0.2886
13.59, 0.2912
13.60, 0.2939
13.61, 0.2965
13.62, 0.2991
13.63, 0.3017
13.64, 0.3043
13.65, 0.3068
13.66, 0.3094
13.67, 0.3120
13.68, 0.3145
13.69, 0.3171
13.70, 0.3196
13.71, 0.3222
13.72, 0.3247
13.73, 0.3272
13.74, 0.3297
13.75, 0.3322
13.76, 0.3347
13.77, 0.3372
13.78, 0.3397
13.79, 0.3422
13.80, 0.3446
13.81, 0.3471
13.82, 0.3495
13.83, 0.3519
13.84, 0.3544
13.85, 0.3568
13.86, 0.3592
13.87, 0.3616
13.88, 0.3640
13.89, 0.3664
13.90, 0.3687
13.91, 0.3711
13.92, 0.3734
13.93, 0.3758
